onetCode,occupation,education,source
11-1011.00,Chief Executives,Bachelor's degree,BLS Data
11-1011.03,Chief Sustainability Officers,Bachelor's degree,BLS Data
11-1021.00,General and Operations Managers,Bachelor's degree,BLS Data
11-1031.00,Legislators,Bachelor's degree,BLS Data
11-2011.00,Advertising and Promotions Managers,Bachelor's degree,BLS Data
11-2021.00,Marketing Managers,Bachelor's degree,BLS Data
11-2022.00,Sales Managers,Bachelor's degree,BLS Data
11-2032.00,Public Relations Managers,Bachelor's degree,BLS Data
11-2033.00,Fundraising Managers,Bachelor's degree,BLS Data
11-3012.00,Administrative Services Managers,Bachelor's degree,BLS Data
11-3013.00,Facilities Managers,Bachelor's degree,BLS Data
11-3013.01,Security Managers,Bachelor's degree,BLS Data
11-3021.00,Computer and Information Systems Managers,Bachelor's degree,BLS Data
11-3031.00,Financial Managers,Bachelor's degree,BLS Data
11-3031.01,Treasurers and Controllers,Bachelor's degree,BLS Data
11-3031.03,Investment Fund Managers,Bachelor's degree,BLS Data
11-3051.00,Industrial Production Managers,Bachelor's degree,BLS Data
11-3051.01,Quality Control Systems Managers,Bachelor's degree,BLS Data
11-3051.02,Geothermal Production Managers,Bachelor's degree,BLS Data
11-3051.03,Biofuels Production Managers,Bachelor's degree,BLS Data
11-3051.04,Biomass Power Plant Managers,Bachelor's degree,BLS Data
11-3051.06,Hydroelectric Production Managers,Bachelor's degree,BLS Data
11-3061.00,Purchasing Managers,Bachelor's degree,BLS Data
11-3111.00,Compensation and Benefits Managers,Bachelor's degree,BLS Data
11-3121.00,Human Resources Managers,Bachelor's degree,BLS Data
11-3131.00,Training and Development Managers,Bachelor's degree,BLS Data
11-9021.00,Construction Managers,Bachelor's degree,BLS Data
11-9031.00,Education and Childcare Administrators Preschool and Daycare,Bachelor's degree,BLS Data
11-9032.00,Education Administrators Kindergarten through Secondary,Master's degree,BLS Data
11-9033.00,Education Administrators Postsecondary,Master's degree,BLS Data
11-9039.00,Education Administrators All Other,Bachelor's degree,BLS Data
11-9041.00,Architectural and Engineering Managers,Bachelor's degree,BLS Data
11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers,Bachelor's degree,BLS Data
11-9072.00,Entertainment and Recreation Managers Except Gambling,Bachelor's degree,BLS Data
11-9111.00,Medical and Health Services Managers,Bachelor's degree,BLS Data
11-9121.00,Natural Sciences Managers,Bachelor's degree,BLS Data
11-9121.01,Clinical Research Coordinators,Bachelor's degree,BLS Data
11-9121.02,Water Resource Specialists,Bachelor's degree,BLS Data
11-9151.00,Social and Community Service Managers,Bachelor's degree,BLS Data
11-9161.00,Emergency Management Directors,Bachelor's degree,BLS Data
11-9199.00,Managers All Other,Bachelor's degree,BLS Data
11-9199.01,Regulatory Affairs Managers,Bachelor's degree,BLS Data
11-9199.02,Compliance Managers,Bachelor's degree,BLS Data
11-9199.08,Loss Prevention Managers,Bachelor's degree,BLS Data
11-9199.09,Wind Energy Operations Managers,Bachelor's degree,BLS Data
11-9199.10,Wind Energy Development Managers,Bachelor's degree,BLS Data
11-9199.11,Brownfield Redevelopment Specialists and Site Managers,Bachelor's degree,BLS Data
13-1011.00,Agents and Business Managers of Artists Performers and Athletes,Bachelor's degree,BLS Data
13-1021.00,Buyers and Purchasing Agents Farm Products,Bachelor's degree,SOC Broad Occupation Group
13-1022.00,Wholesale and Retail Buyers Except Farm Products,Bachelor's degree,SOC Broad Occupation Group
13-1023.00,Purchasing Agents Except Wholesale Retail and Farm Products,Bachelor's degree,SOC Broad Occupation Group
13-1041.00,Compliance Officers,Bachelor's degree,BLS Data
13-1041.01,Environmental Compliance Inspectors,Bachelor's degree,BLS Data
13-1041.03,Equal Opportunity Representatives and Officers,Bachelor's degree,BLS Data
13-1041.04,Government Property Inspectors and Investigators,Bachelor's degree,BLS Data
13-1041.06,Coroners,Bachelor's degree,BLS Data
13-1041.07,Regulatory Affairs Specialists,Bachelor's degree,BLS Data
13-1041.08,Customs Brokers,Bachelor's degree,BLS Data
13-1051.00,Cost Estimators,Bachelor's degree,BLS Data
13-1071.00,Human Resources Specialists,Bachelor's degree,BLS Data
13-1075.00,Labor Relations Specialists,Bachelor's degree,BLS Data
13-1081.00,Logisticians,Bachelor's degree,BLS Data
13-1081.01,Logistics Engineers,Bachelor's degree,BLS Data
13-1081.02,Logistics Analysts,Bachelor's degree,BLS Data
13-1082.00,Project Management Specialists,Bachelor's degree,BLS Data
13-1111.00,Management Analysts,Bachelor's degree,BLS Data
13-1121.00,Meeting Convention and Event Planners,Bachelor's degree,BLS Data
13-1131.00,Fundraisers,Bachelor's degree,BLS Data
13-1141.00,Compensation Benefits and Job Analysis Specialists,Bachelor's degree,BLS Data
13-1151.00,Training and Development Specialists,Bachelor's degree,BLS Data
13-1161.00,Market Research Analysts and Marketing Specialists,Bachelor's degree,BLS Data
13-1161.01,Search Marketing Strategists,Bachelor's degree,BLS Data
13-1199.00,Business Operations Specialists All Other,Bachelor's degree,BLS Data
13-1199.04,Business Continuity Planners,Bachelor's degree,BLS Data
13-1199.05,Sustainability Specialists,Bachelor's degree,BLS Data
13-1199.06,Online Merchants,Bachelor's degree,BLS Data
13-1199.07,Security Management Specialists,Bachelor's degree,BLS Data
13-2011.00,Accountants and Auditors,Bachelor's degree,BLS Data
13-2022.00,Appraisers of Personal and Business Property,Bachelor's degree,SOC Broad Occupation Group
13-2023.00,Appraisers and Assessors of Real Estate,Bachelor's degree,SOC Broad Occupation Group
13-2031.00,Budget Analysts,Bachelor's degree,BLS Data
13-2041.00,Credit Analysts,Bachelor's degree,BLS Data
13-2051.00,Financial and Investment Analysts,Bachelor's degree,BLS Data
13-2052.00,Personal Financial Advisors,Bachelor's degree,BLS Data
13-2053.00,Insurance Underwriters,Bachelor's degree,BLS Data
13-2054.00,Financial Risk Specialists,Bachelor's degree,BLS Data
13-2061.00,Financial Examiners,Bachelor's degree,BLS Data
13-2071.00,Credit Counselors,Bachelor's degree,BLS Data
13-2072.00,Loan Officers,Bachelor's degree,BLS Data
13-2081.00,Tax Examiners and Collectors and Revenue Agents,Bachelor's degree,BLS Data
13-2099.00,Financial Specialists All Other,Bachelor's degree,BLS Data
13-2099.01,Financial Quantitative Analysts,Bachelor's degree,BLS Data
13-2099.04,Fraud Examiners Investigators and Analysts,Bachelor's degree,BLS Data
15-1211.00,Computer Systems Analysts,Bachelor's degree,BLS Data
15-1211.01,Health Informatics Specialists,Bachelor's degree,BLS Data
15-1212.00,Information Security Analysts,Bachelor's degree,BLS Data
15-1221.00,Computer and Information Research Scientists,Master's degree,BLS Data
15-1241.00,Computer Network Architects,Bachelor's degree,BLS Data
15-1241.01,Telecommunications Engineering Specialists,Bachelor's degree,BLS Data
15-1242.00,Database Administrators,Bachelor's degree,BLS Data
15-1243.00,Database Architects,Bachelor's degree,BLS Data
15-1243.01,Data Warehousing Specialists,Bachelor's degree,BLS Data
15-1244.00,Network and Computer Systems Administrators,Bachelor's degree,BLS Data
15-1251.00,Computer Programmers,Bachelor's degree,BLS Data
15-1252.00,Software Developers,Bachelor's degree,BLS Data
15-1253.00,Software Quality Assurance Analysts and Testers,Bachelor's degree,BLS Data
15-1254.00,Web Developers,Bachelor's degree,BLS Data
15-1255.00,Web and Digital Interface Designers,Bachelor's degree,BLS Data
15-1255.01,Video Game Designers,Bachelor's degree,BLS Data
15-1299.00,Computer Occupations All Other,Bachelor's degree,BLS Data
15-1299.01,Web Administrators,Bachelor's degree,BLS Data
15-1299.02,Geographic Information Systems Technologists and Technicians,Bachelor's degree,BLS Data
15-1299.03,Document Management Specialists,Bachelor's degree,BLS Data
15-1299.04,Penetration Testers,Bachelor's degree,BLS Data
15-1299.05,Information Security Engineers,Bachelor's degree,BLS Data
15-1299.06,Digital Forensics Analysts,Bachelor's degree,BLS Data
15-1299.07,Blockchain Engineers,Bachelor's degree,BLS Data
15-1299.08,Computer Systems Engineers/Architects,Bachelor's degree,BLS Data
15-1299.09,Information Technology Project Managers,Bachelor's degree,BLS Data
15-2011.00,Actuaries,Bachelor's degree,BLS Data
15-2021.00,Mathematicians,Master's degree,BLS Data
15-2031.00,Operations Research Analysts,Bachelor's degree,BLS Data
15-2041.00,Statisticians,Master's degree,BLS Data
15-2041.01,Biostatisticians,Master's degree,BLS Data
15-2051.00,Data Scientists,Bachelor's degree,BLS Data
15-2051.01,Business Intelligence Analysts,Bachelor's degree,BLS Data
15-2051.02,Clinical Data Managers,Bachelor's degree,BLS Data
15-2099.00,Mathematical Science Occupations All Other,Bachelor's degree,BLS Data
15-2099.01,Bioinformatics Technicians,Bachelor's degree,BLS Data
17-1011.00,Architects Except Landscape and Naval,Bachelor's degree,BLS Data
17-1012.00,Landscape Architects,Bachelor's degree,BLS Data
17-1021.00,Cartographers and Photogrammetrists,Bachelor's degree,BLS Data
17-1022.00,Surveyors,Bachelor's degree,BLS Data
17-1022.01,Geodetic Surveyors,Bachelor's degree,BLS Data
17-2011.00,Aerospace Engineers,Bachelor's degree,BLS Data
17-2021.00,Agricultural Engineers,Bachelor's degree,BLS Data
17-2031.00,Bioengineers and Biomedical Engineers,Bachelor's degree,BLS Data
17-2041.00,Chemical Engineers,Bachelor's degree,BLS Data
17-2051.00,Civil Engineers,Bachelor's degree,BLS Data
17-2051.01,Transportation Engineers,Bachelor's degree,BLS Data
17-2051.02,Water/Wastewater Engineers,Bachelor's degree,BLS Data
17-2061.00,Computer Hardware Engineers,Bachelor's degree,BLS Data
17-2071.00,Electrical Engineers,Bachelor's degree,BLS Data
17-2072.00,Electronics Engineers Except Computer,Bachelor's degree,BLS Data
17-2072.01,Radio Frequency Identification Device Specialists,Bachelor's degree,BLS Data
17-2081.00,Environmental Engineers,Bachelor's degree,BLS Data
17-2111.00,Health and Safety Engineers Except Mining Safety Engineers and Inspectors,Bachelor's degree,BLS Data
17-2111.02,Fire-Prevention and Protection Engineers,Bachelor's degree,BLS Data
17-2112.00,Industrial Engineers,Bachelor's degree,BLS Data
17-2112.01,Human Factors Engineers and Ergonomists,Bachelor's degree,BLS Data
17-2112.02,Validation Engineers,Bachelor's degree,BLS Data
17-2112.03,Manufacturing Engineers,Bachelor's degree,BLS Data
17-2121.00,Marine Engineers and Naval Architects,Bachelor's degree,BLS Data
17-2131.00,Materials Engineers,Bachelor's degree,BLS Data
17-2141.00,Mechanical Engineers,Bachelor's degree,BLS Data
17-2141.01,Fuel Cell Engineers,Bachelor's degree,BLS Data
17-2141.02,Automotive Engineers,Bachelor's degree,BLS Data
17-2151.00,Mining and Geological Engineers Including Mining Safety Engineers,Bachelor's degree,BLS Data
17-2161.00,Nuclear Engineers,Bachelor's degree,BLS Data
17-2171.00,Petroleum Engineers,Bachelor's degree,BLS Data
17-2199.00,Engineers All Other,Bachelor's degree,BLS Data
17-2199.03,Energy Engineers Except Wind and Solar,Bachelor's degree,BLS Data
17-2199.05,Mechatronics Engineers,Bachelor's degree,BLS Data
17-2199.06,Microsystems Engineers,Bachelor's degree,BLS Data
17-2199.07,Photonics Engineers,Bachelor's degree,BLS Data
17-2199.08,Robotics Engineers,Bachelor's degree,BLS Data
17-2199.09,Nanosystems Engineers,Bachelor's degree,BLS Data
17-2199.10,Wind Energy Engineers,Bachelor's degree,BLS Data
17-2199.11,Solar Energy Systems Engineers,Bachelor's degree,BLS Data
19-1011.00,Animal Scientists,Bachelor's degree,BLS Data
19-1012.00,Food Scientists and Technologists,Bachelor's degree,BLS Data
19-1013.00,Soil and Plant Scientists,Bachelor's degree,BLS Data
19-1021.00,Biochemists and Biophysicists,Doctoral or professional degree,BLS Data
19-1022.00,Microbiologists,Bachelor's degree,BLS Data
19-1023.00,Zoologists and Wildlife Biologists,Bachelor's degree,BLS Data
19-1029.00,Biological Scientists All Other,Bachelor's degree,BLS Data
19-1029.01,Bioinformatics Scientists,Bachelor's degree,BLS Data
19-1029.02,Molecular and Cellular Biologists,Bachelor's degree,BLS Data
19-1029.03,Geneticists,Bachelor's degree,BLS Data
19-1029.04,Biologists,Bachelor's degree,BLS Data
19-1031.00,Conservation Scientists,Bachelor's degree,BLS Data
19-1031.02,Range Managers,Bachelor's degree,BLS Data
19-1031.03,Park Naturalists,Bachelor's degree,BLS Data
19-1032.00,Foresters,Bachelor's degree,BLS Data
19-1041.00,Epidemiologists,Master's degree,BLS Data
19-1042.00,Medical Scientists Except Epidemiologists,Doctoral or professional degree,BLS Data
19-1099.00,Life Scientists All Other,Bachelor's degree,BLS Data
19-2011.00,Astronomers,Doctoral or professional degree,BLS Data
19-2012.00,Physicists,Doctoral or professional degree,BLS Data
19-2021.00,Atmospheric and Space Scientists,Bachelor's degree,BLS Data
19-2031.00,Chemists,Bachelor's degree,BLS Data
19-2032.00,Materials Scientists,Bachelor's degree,BLS Data
19-2041.00,Environmental Scientists and Specialists Including Health,Bachelor's degree,BLS Data
19-2041.01,Climate Change Policy Analysts,Bachelor's degree,BLS Data
19-2041.02,Environmental Restoration Planners,Bachelor's degree,BLS Data
19-2041.03,Industrial Ecologists,Bachelor's degree,BLS Data
19-2042.00,Geoscientists Except Hydrologists and Geographers,Bachelor's degree,BLS Data
19-2043.00,Hydrologists,Bachelor's degree,BLS Data
19-2099.00,Physical Scientists All Other,Bachelor's degree,BLS Data
19-2099.01,Remote Sensing Scientists and Technologists,Bachelor's degree,BLS Data
19-3011.00,Economists,Master's degree,BLS Data
19-3011.01,Environmental Economists,Master's degree,BLS Data
19-3022.00,Survey Researchers,Master's degree,BLS Data
19-3032.00,Industrial-Organizational Psychologists,Master's degree,BLS Data
19-3033.00,Clinical and Counseling Psychologists,Doctoral or professional degree,BLS Data
19-3034.00,School Psychologists,Master's degree,BLS Data
19-3039.00,Psychologists All Other,Master's degree,BLS Data
19-3039.02,Neuropsychologists,Master's degree,BLS Data
19-3039.03,Clinical Neuropsychologists,Master's degree,BLS Data
19-3041.00,Sociologists,Master's degree,BLS Data
19-3051.00,Urban and Regional Planners,Master's degree,BLS Data
19-3091.00,Anthropologists and Archeologists,Master's degree,BLS Data
19-3092.00,Geographers,Bachelor's degree,BLS Data
19-3093.00,Historians,Master's degree,BLS Data
19-3094.00,Political Scientists,Master's degree,BLS Data
19-3099.00,Social Scientists and Related Workers All Other,Bachelor's degree,BLS Data
19-3099.01,Transportation Planners,Bachelor's degree,BLS Data
19-4021.00,Biological Technicians,Bachelor's degree,BLS Data
19-4061.00,Social Science Research Assistants,Bachelor's degree,BLS Data
19-4092.00,Forensic Science Technicians,Bachelor's degree,BLS Data
19-5011.00,Occupational Health and Safety Specialists,Bachelor's degree,BLS Data
21-1011.00,Substance Abuse and Behavioral Disorder Counselors,Bachelor's degree,SOC Broad Occupation Group
21-1012.00,Educational Guidance and Career Counselors and Advisors,Master's degree,BLS Data
21-1013.00,Marriage and Family Therapists,Master's degree,BLS Data
21-1014.00,Mental Health Counselors,Bachelor's degree,SOC Broad Occupation Group
21-1015.00,Rehabilitation Counselors,Master's degree,BLS Data
21-1019.00,Counselors All Other,Master's degree,BLS Data
21-1021.00,Child Family and School Social Workers,Bachelor's degree,BLS Data
21-1022.00,Healthcare Social Workers,Master's degree,BLS Data
21-1023.00,Mental Health and Substance Abuse Social Workers,Master's degree,BLS Data
21-1029.00,Social Workers All Other,Bachelor's degree,BLS Data
21-1091.00,Health Education Specialists,Bachelor's degree,BLS Data
21-1092.00,Probation Officers and Correctional Treatment Specialists,Bachelor's degree,BLS Data
21-1099.00,Community and Social Service Specialists All Other,Bachelor's degree,BLS Data
21-2011.00,Clergy,Bachelor's degree,BLS Data
21-2021.00,Directors Religious Activities and Education,Bachelor's degree,BLS Data
21-2099.00,Religious Workers All Other,Bachelor's degree,BLS Data
23-1011.00,Lawyers,Doctoral or professional degree,BLS Data
23-1012.00,Judicial Law Clerks,Doctoral or professional degree,BLS Data
23-1021.00,Administrative Law Judges Adjudicators and Hearing Officers,Doctoral or professional degree,BLS Data
